epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,247.23,0.61502,0.48545,0.84882,0.97413,0.87831,0.90828,0.75522,0.61408,0.46807,0.83719,0.000372683,0.000372683,0.000372683
114,249.391,0.65728,0.52343,0.85249,0.9671,0.87831,0.91519,0.73921,0.71372,0.47536,0.85001,0.000363252,0.000363252,0.000363252
115,251.547,0.60451,0.48918,0.83149,0.95608,0.87831,0.91229,0.74532,0.71368,0.48561,0.84565,0.00035382,0.00035382,0.00035382
116,253.694,0.61123,0.51163,0.84365,0.98918,0.87333,0.92057,0.74401,0.7197,0.45829,0.8343,0.000344389,0.000344389,0.000344389
117,255.828,0.56662,0.48106,0.81807,0.98172,0.87186,0.91205,0.75388,0.70647,0.4358,0.84132,0.000334958,0.000334958,0.000334958
118,258.001,0.62517,0.49795,0.86116,0.98021,0.84127,0.91507,0.72663,0.76471,0.47474,0.84352,0.000325526,0.000325526,0.000325526
119,260.165,0.63997,0.50134,0.86105,0.98501,0.84127,0.90832,0.77892,0.65901,0.43549,0.84204,0.000316095,0.000316095,0.000316095
120,262.335,0.58211,0.48015,0.8248,0.9859,0.84127,0.90745,0.75338,0.6674,0.45316,0.84489,0.000306663,0.000306663,0.000306663
121,264.486,0.6069,0.49564,0.83759,0.98576,0.84127,0.9054,0.75485,0.69253,0.43862,0.84832,0.000297232,0.000297232,0.000297232
122,266.63,0.59,0.4642,0.84557,0.97608,0.84127,0.90456,0.75966,0.66372,0.45315,0.83289,0.000287801,0.000287801,0.000287801
123,268.8,0.57645,0.46695,0.83926,0.98501,0.83433,0.90084,0.7445,0.71546,0.47299,0.8396,0.000278369,0.000278369,0.000278369
124,270.984,0.61575,0.49705,0.83799,0.95342,0.84127,0.89465,0.75442,0.69135,0.48421,0.84214,0.000268938,0.000268938,0.000268938
125,273.161,0.60051,0.49269,0.83555,0.94407,0.84127,0.90757,0.75955,0.71261,0.46492,0.8422,0.000259506,0.000259506,0.000259506
126,275.324,0.56662,0.46663,0.81953,0.94419,0.84127,0.90769,0.73788,0.72032,0.47321,0.83993,0.000250075,0.000250075,0.000250075
127,277.515,0.60354,0.45615,0.83232,0.89318,0.87831,0.90482,0.74722,0.67385,0.47354,0.84743,0.000240644,0.000240644,0.000240644
128,279.682,0.56052,0.44986,0.82649,0.94073,0.84127,0.89689,0.72206,0.67682,0.4671,0.83948,0.000231212,0.000231212,0.000231212
129,281.817,0.5901,0.46697,0.83538,0.90789,0.87522,0.89136,0.71389,0.66051,0.46862,0.84019,0.000221781,0.000221781,0.000221781
130,283.98,0.56207,0.48669,0.82183,0.929,0.87228,0.88667,0.73278,0.65264,0.46044,0.83275,0.000212349,0.000212349,0.000212349
131,286.135,0.54189,0.44305,0.83954,0.88004,0.87831,0.89184,0.71463,0.6912,0.45315,0.84748,0.000202918,0.000202918,0.000202918
132,288.278,0.56557,0.44659,0.8238,0.939,0.84127,0.89157,0.74787,0.66273,0.45601,0.84075,0.000193487,0.000193487,0.000193487
133,290.411,0.56052,0.44112,0.83595,0.96683,0.84127,0.89484,0.71343,0.73882,0.47961,0.83605,0.000184055,0.000184055,0.000184055
134,292.568,0.54434,0.44761,0.83208,0.9505,0.84127,0.89305,0.74558,0.63725,0.4241,0.8401,0.000174624,0.000174624,0.000174624
